,ID,Example_A,Example_B,Example_C,Example_D,Answer,Length,Label
14501,A_Spell_of_Good_Things_-_Ayobami_Adebayo,"Please, I wantI want these children to go to school. Its their only chance in life. I dont have any property Im going to leave them. I have nothing else to give them that can You think I am happy to see you suffer like this? Why do you think I am angry with your husband? God has not blessed this family with wealth, but were you ever hungry? Look at the wells in your neck. If he knew he could not take care of you, why did he marry you? You too look at what you are wearingwere you not better dressed when you lived here? y nil looked down at her washed-out ankara dress. The hem had come apart, and if you stared long enough, you could see that it had been patched at the hip. Let me stop talking about your husband before this becomes another fight. Okay sir. But, y nil, I cant afford to give you more than one thousand five hundred naira. Me too, I just finished paying school fees last week. My purse is still recovering from that. y nil leaned forward. Surely shed misheard. You just finished paying what? School fees, I said school fees. For? My children. Children? Its okay, Algb, you dont want to give me the money. No problem. Well, our God did not abandon me where you left me. He gestured towards the door. You might have seen them outside when you were coming in, my wife has two children from her first marriage.","I humbly request for these young ones to be educated. It is their sole prospect for a better life. I have no belongings to bequeath them. I can offer nothing more that could aid their future. Do you presume I delight in your adversity? Why would you reckon I harbor resentment towards your spouse? The Lord has not bestowed this clan with affluence, however were provisions ever sparse? Observe the indentations in your neck. If he was cognizant he could not furnish for you, why did he take your hand in marriage? You as well regard your attire - were your garments not superior when you resided here? Yẹni gazed at her faded Ankara robe. The edge had detached, and if inspected thoroughly, patching at the hip was evident. Allow me to abstain from further commentary about your husband to avert conflict. Very well sir. But Yẹni, I am unable to provide more than one thousand five hundred naira. I likewise only finished settling instructional fees recently. My purse is still recuperating from that expenditure. Yẹni leaned forward. Surely she had misheard. You recently finished paying what? School fees, I stated educational fees. For? My children. Children? It is understandable, Ẹgbẹ́, you decline to furnish the funds. No issue. Well, our God did not desert me where you departed. He gestured towards the entrance. You may have sighted them exterior upon your arrival, my wife has two offspring from her former marriage.","I humbly beseech, permit these juveniles to be schooled. It constitutes their singular prospect at prosperity. I possess no estates to endow them. I can tender nothing superior to potentially advance their futures. Do you presume I delight at your adversity? What prompts you to assume I harbor resentment towards your betrothed? The Lord has not bestowed this lineage with wealth, alas were provisions ever lacking? Note the impressions on your nape. If he was cognizant he could not provide for you, why did he pledge to matrimony? You likewise consider your garb - were your vestments not enhanced when inhabiting here? Yẹ́mí peered upon her faded Ankara gown. The boundary had detached, and upon meticulous inspection, mending was evident at the haunch. Allow me to refrain from additional remarks about your betrothed to evade dispute. Very good sir. However Yẹ́mí, I am unable to furnish further than one thousand five hundred naira. I similarly only lately concluded settling educational expenses. My purse is still recuperating from that outlay. Yẹ́mí leaned forward. Surely she had misconstrued. You recently settled what expenses? Instructional expenses, I declared educational fees. For whom? My progeny. Progeny? It is reasonable, Ẹ̀gbẹ́, you decline to provide the resources. No issue. Well, our God did not abandon me where you departed. He gestured towards the entrance. You may have glimpsed them exterior upon your advent, my wife has two offspring from her preceding marriage.","I humbly request, allow these youths to be educated. It forms their sole avenue towards prosperity. I possess no assets to bequeath. I can offer naught superior to potentially progress their futures. Do you assume I revel in your tribulation? What stirs you to presume I harbor resentment towards your betrothed? The Lord has not bestowed this lineage with wealth, however were provisions ever deficient? Note the marks on your nape. If he was cognizant he could not furnish for you, why did he pledge matrimony? You equally contemplate your vestments - were your garments not enhanced when occupying here? Yẹ́mí peered upon her faded Ankara gown. The hem had detached, and upon meticulous inspection, mending was visible at the thigh. Allow me to refrain from additional commentary regarding your betrothed to evade discord. Very well sir. However Yẹ́mí, I am unable to provide further than one thousand five hundred naira. I likewise only recently finished settling educational expenses. My purse is still restoring from that expenditure. Yẹ́mí leaned forward. Surely she had misheard. You recently settled what fees? Educational fees, I stated instructional fees. For whom? My progeny. Progeny? It is reasonable, Ẹ̀gbẹ́, you decline to furnish the money. No issue. Well, our God did not desert me where you departed. He gestured towards the entrance. You may have glimpsed them exterior upon your appearance, my wife has two offspring from her former marriage.",A,large,0
14709,Confidence_-_Rafael_Frumkin,"He patted the bed next to him and I sat down, feeling his warmth, carefully positioning my hand as close to his thigh as I could. Im glad youre here, little dude, he said. Me too. He took a drag and handed me the cigarette. I took my own drag, tasting his lips on the filter. I should really quit, he said. Its bad for my image. But I never know what to do with my hands, you know? Obviously I knew. Id known this for years, for his whole life. I knew him better than he knew himself. Yeah, I said. Youre busy in New York? he asked. WellI, um. Thats actually what I came here to tell you about. He nodded, unhearing. People are expecting a lot of me, he said. You start to feel the pressure in situations like this. I can only imagine. What do you think people want next? II mean, I really dont know. That seems like the kind of thing youd know. Mm. He leaned back on his hands and looked at the ceiling. Im thinking people want to know what happens after death. His body was forming beautiful angles. Do you know what happens after death? I asked. He laughed. No, not yet. But I can figure it out. A little meditating. Some solitude. Theyve both worked so far. He seemed to be in a pleasant reverie, and I didnt want to interrupt it, but I knew I had to.","He motioned to the place beside him on the bed and I took a seat there, feeling his body heat. I carefully put my hand as near his thigh as possible. I'm pleased you're present, little fellow, he uttered. Me too. He inhaled from the cigarette and passed it to me. I inhaled too, tasting his lips on the filter. I really should stop, he declared. It's detrimental to my public image. However, I never know what to do with my hands, you comprehend? Obviously I did. I'd been aware of this for years, his whole life. I was more familiar with him than he was of himself. Yeah, I replied. You're occupied in New York? he queried. Well...I, um. That's really what I came here to notify you about. He nodded, not listening. Individuals have high hopes for me, he stated. You start to feel the burden in situations similar to this. I can only envision. What do you think society desires next? I...I really am uncertain. That seems the variety of thing you'd be cognizant of. Mm. He reclined back on his hands and gazed at the ceiling. I'm thinking humanity wants to know what transpires after demise. His body was forming wonderful angles. Do you know what happens post-death? I asked. He chuckled. No, not yet. But I can find out. Some meditation. Some seclusion. Both have worked thus far. He appeared to be in a pleasant imagination, and I didn't want to disturb it, but I was aware I had to.","He patted the mattress next to where he was seated, gesturing for me to sit. I took a seat, feeling the warmth from his body. I cautiously settled my hand as near his thigh as felt comfortable. I'm elated you're here, little fellow, he uttered. Me too, I replied. He brought the cigarette to his lips for a drag before passing it to me. I inhaled, tasting residue from his mouth on the filter. I really should cease, he commented. It's not beneficial to my public persona. However, I never know what to do with my hands, as you know. Indeed, I was aware. I had known this for years, his entire life. I was more knowledgeable about him than he was about himself. Yeah, I know, I responded. You're occupied in New York? he asked. Well...I, um. That's actually why I came here, to update you. He nodded along, not fully listening. Individuals have high hopes for me, he said. You begin feeling the pressures in situations such as this. I can only envision. What do you think society wants next from me? I...I'm really not certain. That seems like something you would be cognizant of. Mm, he murmured. He reclined back on his hands, gazing up. I'm thinking humanity wants to know what happens after death. His body formed wonderful angles as he relaxed. Do you know what transpires after one's passing? I asked. He chuckled. No, not yet. But I can find out with some meditation and solitude. Both have been effective thus far, he commented. He seemed peaceful, and I didn't want to disturb his mood, but I knew this conversation was necessary.  ","He gestured to the open spot on the mattress beside him and I took a seat, feeling his bodily warmth. I cautiously positioned my hand as near his thigh as I felt was appropriate. I'm elated you're here, little fellow, he uttered. Me too, I replied. He brought the cigarette to his lips for a puff before passing it to me. I inhaled also, tasting residue from his mouth on the filter. I really should stop this habit, he commented. It doesn't help my public persona. However, I never know what to do with my hands, as you're aware. Indeed, I was cognizant. I had known this for years, his entire life span. I was more knowledgeable about his ways than he was about himself. Yeah, I know, I responded. You're kept active in New York? he asked. Well...I, um. That's actually the reason I came here, to update you. He nodded along, not completely tuned in. The public has high hopes for me, he said. You start to feel the pressures in situations like this. I can only envision such burdens. What do you think society wants next from someone like me? I...I'm really uncertain. That seems the variety of thing you'd be privy to. Mm, he murmured. He reclined back on his hands, peering upward. I'm thinking humanity wants to know what happens after one's passing. His body formed aesthetic angles as he relaxed. Do you know what transpires after death? I asked. He chuckled softly. No, not yet. But I can find out with some meditation and solitude. Both have been effective thus far, he commented. He seemed at peace, and I didn't want to disturb this, but I knew this conversation had to occur.",A,large,0
12427,Youre_Not_Supposed_-_Kalynn_Bayron,"Im here because somebody has to bear witness. Somebody has to remember. I touch the jagged scar that runs across my abdomen. Six surgeries later and things still arent the same, but the scars remind me that what happened to me and to Charity and everyone else was real. Sometimes it seems so much like a nightmare that I wonder if one day, Ill wake up and find that it was all just an awful dream.","I'm present because someone needs to give testimony. Someone has to recall. I feel the rough, uneven scar that extends across my stomach. Even after six operations things are still not the same, but the scars remind me that what Charity and I and everyone else went through genuinely occurred. At times it feels so much like a bad dream that I wonder if someday, I'll awaken and realize it was all merely a horrible nightmare.","I'm here because someone must provide an account. Someone needs to keep the memories alive. I touch the jagged mark left across my belly. Despite six procedures, things aren't back to normal, but the scars show me our ordeal was real. Sometimes it seems like a disturbing dream and I think someday I might wake up to find it was all an awful illusion.  ","I have come because someone must bear witness. Someone has to keep the recollections alive. I run my fingers over the rough, uneven line running over my stomach. Even after six operations, things are not the same, but the scars remind me that the events involving me, Charity, and the others genuinely transpired. At times it feels so much like a terrible dream that I wonder if one day I will awaken and realize it was all just a frightening nightmare.",A,small,0
15227,Maame_-_Jessica_George,"Her eyelash extensions mean if I look close enough, theyre either resting on her cheeks or reaching for her eyebrows. I love Shu very much. Nias bought more food and lots of salad and fruit. We sit in the living room and eat on the floor. Shu kisses her teeth. I never liked him, you know. You met? Nia asks. No, but I looked him up on Facebook and he was still active on it, so that was a red flag, Shu explains. Facebook is now solely for stalking purposes, distant foreign relatives excused. Hes not even good-looking, she adds, popping a grape into her mouth. Small eyes and stretched lips. I knew youd end up having funky taste in men. Maybe Maddies more focused on personality? Nia helps. I doubt it, Shu says. His was clearly shit. She turns to me. Were you with him because he was rich? I lift my head from Nias shoulder. Thank you for essentially calling me a gold-digger, Shu. She frowns. I dont know why youre offended. Gold-diggers are our nations hardest workers; do you know how much effort goes into pretending to give a shit about some guy for his money? A lot. Hoes are Britains unsung heroes. Lets not further that thread. How are you feeling? Nia asks me. All this Ben stuff isnt great timing. I didnt love him, I admit, not the way I was supposed to and I know that, but I loved feeling loved and  wanted.","Her false eyelashes mean if I inspect closely, they're resting on her cheeks or trying to reach her eyebrows. I cherish Shu deeply. Nias obtained more provisions and abundant salad and fruit. We sit in the living area and dine on the floor. Shu makes an irritated noise with her teeth. I never cared for him, I'll have you know. You convened? Nia probes. No, however I investigated him on Facebook and he was still active on it, so that was a red flag, Shu clarifies. Facebook is now only for stalking motives, distant foreign relatives excused. He's not even attractive, she appends, putting a grape in her mouth. Small eyes and taut lips. I was aware you would conclude having eccentric taste in gentlemen. Perhaps Maddie is more focused on personality? Nia attempts to help. I doubt it, Shu pronounces. His was clearly horrible. She rotates to me. Were you with him because he was wealthy? I lift my head from Nia's shoulder. Thank you for essentially dubbing me a gold-digger, Shu. She frowns. I don't comprehend why you're offended. Gold-diggers are our nation's most diligent workers; do you grasp how much exertion goes into pretending to care about some guy for his money? A lot. Harlots are Britain's unsung heroes. Let's not advance that thread. How are you feeling? Nia asks me. All this Ben stuff isn't ideal timing. I didn't love him, I admit, not the way I was supposed to and I know that, but I loved feeling cherished and wanted.","Her artificial eyelashes mean if I examine closely, they're resting on her cheeks or striving for her eyebrows. I adore Shu profoundly. Nias obtained more provisions and abundant salad and fruit. We sit in the living space and dine on the floor. Shu makes an exasperated noise with her teeth. I never was fond of him, I'll have you know. You convened? Nia probes. No, but I investigated him on Facebook and he was still active on it, so that was a red flag, Shu elucidates. Facebook is now exclusively for stalking intents, distant foreign relatives excused. He's not even good-looking, she appends, putting a grape in her mouth. Small eyes and tight lips. I was cognizant you would conclude having eccentric taste in men. Perhaps Maddie is more focused on personality? Nia attempts to assist. I doubt it, Shu pronounces. His was clearly horrible. She pivots to me. Were you with him because he was wealthy? I lift my head from Nia's shoulder. Thank you for essentially dubbing me a gold-digger, Shu. She frowns. I don't grasp why you're offended. Gold-diggers are our nation's most diligent workers; do you comprehend how much exertion goes into pretending to care about some guy for his money? A lot. Harlots are Britain's unsung heroes. Let's not advance that thread. How are you feeling? Nia asks me. All this Ben stuff isn't ideal timing. I didn't love him, I admit, not the way I was supposed to and I know that, but I loved feeling cherished and wanted.  ","Her false eyelashes mean if I inspect closely, they're resting on her cheeks or trying to reach her eyebrows. I cherish Shu deeply. Nias obtained more provisions and abundant salad and fruit. We sit in the living space and dine on the floor. Shu makes an irritated noise with her teeth. I never cared for him, I'll have you know. You convened? Nia probes. No, however I investigated him on Facebook and he was still active on it, so that was a red flag, Shu clarifies. Facebook is now exclusively for stalking motives, distant foreign relatives excused. He's not even attractive, she appends, putting a grape in her mouth. Small eyes and taut lips. I was aware you would conclude having eccentric taste in gentlemen. Perhaps Maddie is more focused on personality? Nia attempts to assist. I doubt it, Shu pronounces. His was clearly horrible. She pivots to me. Were you with him because he was wealthy? I lift my head from Nia's shoulder. Thank you for essentially dubbing me a gold-digger, Shu. She frowns. I don't grasp why you're offended. Gold-diggers are our nation's most diligent workers; do you comprehend how much exertion goes into pretending to care about some guy for his money? A lot. Harlots are Britain's unsung heroes. Let's not advance that thread. How are you feeling? Nia asks me. All this Ben stuff isn't ideal timing. I didn't love him, I admit, not the way I was supposed to and I know that, but I loved feeling cherished and wanted.",A,large,0
11835,The_Only_One_Left_-_Riley_Sager,"An act that boggles my mind. This is my father. The man who raised me. I cant imagine needing to protect myself from him. Yet, under the circumstances, it feels necessary. Rather than head into Virginias room, I duck into mine, startled by how different it feels. The floor is noticeably more slanted, forcing me to think twice before each step. On my way to the adjoining door, I notice the mattress bunched at the foot of the bed.","A deed that astonishes my intellect. This man is my parent. The individual who nurtured me as a child. I struggle to conceive requiring security from him. However, given the context, it seems imperative. Instead of entering Virginia's quarters, I hastily retreat to my own, disoriented by the unfamiliar ambience. The floor visibly slopes more, obliging me to cautiously consider each footfall. En route to the connecting entrance, I observe the bedding gathered at the base of the furniture.","An action that stuns my mind. This fellow is my father. The one who brought me up. I'm unable to picture needing a shield from him. But with the circumstances, it looks critical. Rather than march into Virginia's room, I dart into my own, jarred by the alien feel. The floor noticeably slants more, forcing me to think hard before every step. Heading to the adjoining door, I notice the mattress bunched at the bed's foot.  ","A deed that shocks my thinking. This man is my dad. The one who raised me up. I can't envision needing protection from him. But given the situation, it seems vital. Instead of going into Virginia's bedroom, I dash into mine, jolted by the strange vibe. The floor visibly tilts more, making me reconsider each tread. Approaching the connecting entrance, I see the bedding piled at the bed's base.",A,small,0
15654,The_Housekeepers_-_Alex_Hay,"She really believed that, Winnie thought. She was holding on tight to it. Well. Better to get it out in the open now, then. Mrs. Kings arm went rigid. Mrs. Bone knows, she said. Shes known from the start. Shes as much connected to him as I am. Shes his sister. Winnie halted. This time the shock felt like pain, not like weakness. She drew her arm away. Mrs. King at least had the grace to look uneasy. It was best you didnt know, she said. Winnie felt as if shed like to scream. For heavens sake, Dinah. She put a hand to her head, feeling an ache starting there. You should have told me. You should have told me years ago. Mrs. King just shook her head. Winnie sighed. This discussion has unsettled us both. Lets go back. And so they did, not speaking. Winnie gave full but silent vent to her feelings. It was unpardonable that Dinah should have kept so great a secret from her. But that question nagged at her. Didnt you guess? She pictured Mrs. King, that playful, sideways tilt to her expression. It was so entirely like the old master that it made Winnies legs feel weak. She understood quite clearly what must have happened. Mr. de Vries had got himself a bastard. Most gentlemen would have sent the mother a stipend, or at any rate a warning letter, or simply run away. He had gone one better.","She was convinced of it, Winnie thought. Mrs. King was clinging tightly to that belief. Well. It would be best to reveal it now. Mrs. Kings arm stiffened. Mrs. Bone has been aware from the very start, she said. She comprehends him as profoundly as I do. They are siblings. Winnie stopped short. This time the astonishment was excruciating, not draining. She pulled back her arm. Mrs. King at least appeared remorseful. You were better off without knowing, she said. Winnie felt a desire to shriek. For heaven's sake, Dinah! She put a hand to her aching head. You ought to have informed me. You should have told me years past. Mrs. King simply shook her head. Winnie exhaled. This conversation has disrupted us both. Let's go back. And so they did, mutely. Winnie silently vented her full emotions. It was unforgivable for Dinah to have concealed such an enormous secret from her. But one question nagged at her. Did you not guess? She envisioned Mrs. King, that playful, sideways tilt to her expression. It was so utterly reminiscent of the old master that Winnie's legs weakened. She understood unambiguously what must have transpired. Mr. de Vries had fathered an illegitimate child. Most gentlemen would have provided the mother an allowance, or at least a warning letter, or simply fled. He had done one better.","She truly thought it, Winnie considered. Mrs. King was clinging to that notion tightly. Very well. It would be best to make it public now. Mrs. King’s arm tensed up. Mrs. Bone has been cognizant from the very beginning, she stated. She comprehends him as profoundly as I do. They are kin. Winnie stopped abruptly. This time the shock was excruciating, not draining. She withdrew her arm. Mrs. King at least looked regretful. You were in the dark for the best, she said. Winnie felt an urge to scream loudly. For heaven's sake, Dinah! She put a hand to her now aching head. You should have informed me. You ought to have told me years before. Mrs. King merely shook her head. Winnie exhaled loudly. This talk has disturbed us both. Let us go back. And so they did, wordlessly. Winnie silently expressed her full emotions. It was unforgivable that Dinah had kept such an enormous secret from her. But one question nagged at her. Did you not guess? She pictured Mrs. King, that playful, sideways tilt to her expression. It was so utterly reminiscent of the old master that Winnie's legs weakened. She understood clearly what must have happened. Mr. de Vries had fathered an illegitimate child. Most gentlemen would have provided the mother money, or at least a warning letter, or simply fled. He had done one better.","She genuinely believed it, Winnie thought. Mrs. King was clinging firmly to that idea. Very well. It would be best to reveal it presently. Mrs. King’s arm stiffened. Mrs. Bone has been aware all along, she stated. She comprehends him as profoundly as I do. They are family. Winnie halted abruptly. This time the shock was agonizing, not weakening. She pulled back her arm. Mrs. King at least appeared regretful. Ignorance was bliss, she said. Winnie felt an urge to shriek loudly. For heaven's sake, Dinah! She put a hand to her now throbbing head. You ought to have informed me. You should have told me years ago. Mrs. King simply shook her head. Winnie sighed loudly. This talk has unsettled us both. Let us return. And so they did, silently. Winnie silently expressed her full feelings. It was unforgivable that Dinah had concealed such an enormous secret from her. But one question nagged at her. Did you not guess? She pictured Mrs. King, that playful, sideways tilt to her expression. It was so utterly reminiscent of the old master that Winnie's legs weakened. She understood clearly what must have transpired. Mr. de Vries had fathered an illegitimate child. Most gentlemen would have provided the mother money, or at least a warning letter, or simply fled. He had done one better.",A,large,0
12355,What_Lies_in_the_Woods_-_Kate_Alice_Marshall,"Big Jim came by his name honestly. He was where Oscar had gotten his massive frame and squared-off features. He loomed literally as well as figuratively in Chester. Hed been mayor for twenty-eight years, and the only person whod ever come close to unseating him was Clark Jensen, whod carried three wounded fellow soldiers through a hail of gunfire and still lost the election by six points.","James, who was known as Big Jim, was aptly named. He had inherited his large build and square face from Oscar. He was an imposing figure, both literally and metaphorically, in Chester. He had served as mayor for twenty-eight years, and the only one who had almost defeated him was Clark Jensen, a war hero who had rescued three injured comrades under enemy fire yet still lost the election by six percentage points.","The moniker ""Big Jim"" was fitting for James. He got his bulky frame and blocky features from Oscar. He was a daunting presence, physically and influentially, in Chester. He'd held the mayoral office for twenty-eight years, and the sole person who'd come close to unseating him was Clark Jensen, who'd hauled three hurt buddies through gunfire but had still been beaten in the election by six points. ","James, known as Big Jim, had earned his nickname. He inherited his large stature and square face from Oscar. He was an imposing figure, in size and influence, in Chester. He had been the mayor for twenty-eight years, and the only one who almost beat him was Clark Jensen, who carried three injured soldiers through enemy fire but still lost the election by six percentage points.",A,small,0
14421,Youre_Not_Supposed_-_Kalynn_Bayron,"Her tone mirrors my ownvery sweet and very fake. It immediately sets something off in my gut. Its almost like shes mocking me. The trespassing signs? I ask. Im sorry. I saw them, but Im looking for my friends, and I know they came this way. Do you now? She pulls the door all the way open but keeps her right hand behind the door itself. And how do you know that? I havent seen anybody. You didnt see anyone? I ask. Tashas hair tie is in my pocket. She was here. Youre sure? Please, Ms. Keane. I know what happened with you at the camp was probably just a misunderstanding.","Her voice sounds overly sweet and artificial like mine. It makes me feel uneasy. She asks about the no trespassing signs. I apologize that I ignored them, but explain I'm searching for my friends who went this way. She opens the door more but keeps her hand behind it. She questions how I know my friends came here since she hasn't seen anyone. I ask if she's certain she didn't see them. I plead that she believes me, Ms. Keane, and that the incident at camp was likely a misunderstanding.  ","Her tone is sweet and phony like my own. It instantly makes me suspicious. I ask about the no trespassing signs. I'm sorry, I saw them but I'm looking for my friends who came this way. I know they did. She opens the door more but keeps her hand behind it. She asks how I know they were here since she hasn't seen anybody. You didn't see them? I ask. Tasha's hair tie is in my pocket so she was here. Is she sure? Please Ms. Keane, I'm sure what happened at camp was just a misunderstanding.","Her voice is overly sweet and fake like my own. It immediately makes me uneasy. I ask about the no trespassing signs. I apologize for ignoring them but explain I'm looking for my friends who came this way. I know they did. She opens the door more but keeps her hand behind it. She questions how I know they were here if she hasn't seen anyone. I ask if she's sure she didn't see them. Tasha's hair tie is in my pocket so she was here. I plead with her to believe me, Ms. Keane, and that the incident at camp was likely just a misunderstanding.",A,medium,0
15263,Perfect_Little_Lives_-_Amber_Brown,"Even Hunter’s intentions. Especially running into him the way I did at Reggie’s office building. Jasmine catches my eyes for a beat. She’s wearing her usual blazer-and-jeans combo, saying everything to Matt with a manufactured smile, but I highly doubt he takes it for anything but genuine. It’s obvious she’s putting in her bid to take over Katrina’s accounts. That should be me, because clearly promotions here aren’t strictly merit based; managers love a good ass-kissing smothered in baseless flattery. It’s a little disappointing when I realize our run-in was truly a coincidence and the two firms are actually housed in the same dark glass building. It means I have to ditch my theory that Hunter orchestrated our reunion after weeks of stalking me. It didn’t really have legs anyway since I was the one who followed Hunter back into the lobby. If I hadn’t done that, he would have gotten in that elevator like he does every day, and we never would have spoken a word. And there’s no way Hunter could have known I was meeting Reggie for lunch that day. No more assumptions. I need facts. I can’t assume Hunter knows what his father did. Besides, he’s the one who brought up the affair. He wouldn’t have done that if he’s aware of his father’s secret. The dots are too easy to connect from there. Is love that blind? Could the possibility of Scott being a murderer not once cross Hunter’s mind simply because of how much he adores his father? If my father—   But my father would never.","Jasmine's artificial smile at Matt hints that she's angling to take over Katrina's business, thinking phony flattery can get her a promotion over more deserving candidates like me. Though running into Hunter seemed orchestrated, it was just coincidence our firms share a building. I followed him inside, or we'd never have talked. Hunter couldn't have known my lunch with Reggie. No more guessing his motives. I need facts, not assumptions that he knows of his dad's affair. Hunter himself brought it up, so he likely doesn't know Scott's secret. Does Hunter's love blind him to the chance Scott's a killer? My father never would be.","Jasmine's insincere grin toward Matt shows she's scheming to grab Katrina's accounts, foolishly believing hollow compliments can leapfrog her over more qualified people like myself. Our encounter with Hunter seemed calculated but was just a fluke of our companies occupying the same tower. I tailed him into the lobby, otherwise we wouldn't have spoken. Hunter couldn't have foreseen my meal with Reggie. No more theorizing about his intentions. I require evidence, not suppositions he's aware of his father's dalliance. Hunter himself mentioned it, so he probably doesn't know Scott's hidden sin. Does Hunter's devotion render him oblivious to the possibility Scott's a murderer? My father would never stoop so low.  ","Jasmine's artificial smile toward Matt reveals she's maneuvering to seize Katrina's business, stupidly thinking bogus flattery can catapult her over more worthy candidates such as myself. Though our run-in with Hunter felt prearranged, it was merely happenstance our firms share a building. I tracked him inside, else we'd have never conversed. Hunter couldn't have predicted my lunch with Reggie. No more conjecturing his motivations. I need proof, not guesses he knows of his dad's affair. Hunter himself raised it, so he likely ignores Scott's clandestine transgression. Does Hunter's devotion make him heedless of the prospect Scott's a killer? My father would never sink so despicably.",A,large,0
13360,Robyn_Harding_-_The_Drowning_Woman,"If her husband comes homewhich he wontIll just say I was meeting Hazel. Hes not going to call the cops on me. What if he hurts you? He wont, I say quickly, though my mind flits to that soundproof room where Hazel has been abused and tortured. I have to help her. He could seriously injure her. Or even kill her. You really care about her, dont you? My voice is husky. Yeah, I do. He sips his wine. When are you doing this? Tomorrow. Christ. He sets the glass on the coffee table. Why so soon? When I saw her yesterday, she had a black eye.","If her spouse returns home, which is unlikely, I'll just say I was seeing Hazel. He won't contact law enforcement on me. What if he harms you? He won't, I rapidly respond, though I briefly think about that soundproof room where Hazel has been mistreated and tormented. I need to assist her. He could genuinely damage her. Or even end her life. You truly worry about her, don't you? My voice is hoarse. Yeah, I do. He drinks his wine. When are you doing this? Tomorrow. Goodness. He puts the glass on the coffee table. Why so soon? When I saw her yesterday, she had a black eye.","If her husband comes back home, and he probably won't, I'll just tell him I was meeting with Hazel. He's not going to call the police on me. What if he injures you? He won't, I say quickly, although I briefly consider that soundproof room where Hazel has been abused and tortured. I have to help her. He could seriously hurt her. Or even kill her. You really care about her, don't you? My voice is rough. Yes, I do. He sips his wine. When are you doing this? Tomorrow. Wow. He places the glass on the coffee table. Why so early? When I saw her yesterday, she had a black eye.  ","If her spouse returns home, which he likely won't, I'll just state I was seeing Hazel. He won't notify the authorities on me. What if he harms you? He won't, I rapidly say, though I briefly ponder that soundproof room where Hazel has been mistreated and tortured. I need to assist her. He could genuinely injure her. Or even end her life. You truly care for her, don't you? My voice is hoarse. Yes, I do. He drinks his wine. When are you doing this? Tomorrow. Goodness. He puts the glass on the coffee table. Why so soon? When I saw her yesterday, she had a black eye.",A,medium,0
